product_title,product_url,brand,sales_price,mrp,discount_percent,number_of_ratings,number_of_reviews,type_of_oven,model_name,star_rating,capacity_litres
"BAJAJ 20 L Grill Microwave Oven  (2016 MTBX, Black)",https://www.flipkart.com/bajaj-20-l-grill-microwave-oven/p/itm438ef2e1e11e0?pid=MRCFYGF2XCGEQV6H&lid=LSTMRCFYGF2XCGEQV6HZJUVRI&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_11&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCFYGF2XCGEQV6H.SEARCH&ssid=me5nc1fnj40000001686492252251,BAJAJ,5699,5995,4,5516,512,Grill,2016 MTBX,4.4,20
"IFB 30 L Metallic silver Convection Microwave Oven  (30SC4, Metallic Silver)",https://www.flipkart.com/ifb-30-l-metallic-silver-convection-microwave-oven/p/itmd607412b4f3e1?pid=MRCEF2ZSFDCNBPZ5&lid=LSTMRCEF2ZSFDCNBPZ5DCGSON&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_12&otracker=browse&iid=en_FeJTfpuX2I85Q8msQGYbwKArEgUzLIa8PhCHFYN1FgQ%2BaOSyEQHKaPmEd4lsvtOzKV5%2FDqo081zXuxAZ22do4w%3D%3D&ssid=me5nc1fnj40000001686492252251,IFB,13490,16890,20,8244,1055,Convection,30SC4,4.3,30
"Panasonic 20 L Solo Microwave Oven  (NN-ST26JMFDG, Silver)",https://www.flipkart.com/panasonic-20-l-solo-microwave-oven/p/itm44af8460a2306?pid=MRCFTZ8EWHBBPCSC&lid=LSTMRCFTZ8EWHBBPCSC9AO4IF&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_13&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCFTZ8EWHBBPCSC.SEARCH&ssid=me5nc1fnj40000001686492252251,Panasonic,5790,7490,22,1871,159,Solo,NN-ST26JMFDG,4.4,20
"LG 20 L Solo Microwave Oven  (MS2043BP, Black)",https://www.flipkart.com/lg-20-l-solo-microwave-oven/p/itmf3rygebb6pbk7?pid=MRCF2UQHF5FPDXGP&lid=LSTMRCF2UQHF5FPDXGPJIS1YS&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_14&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCF2UQHF5FPDXGP.SEARCH&ssid=me5nc1fnj40000001686492252251,LG,6290,8199,23,7170,771,Solo,MS2043BP,4.3,20
"LG 20 L Grill Microwave Oven  (MH2044DB, Black)",https://www.flipkart.com/lg-20-l-grill-microwave-oven/p/itmdz5v2y3ckyu9y?pid=MRCDZ5VFHGD7F7UV&lid=LSTMRCDZ5VFHGD7F7UVRRJYI2&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_15&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCDZ5VFHGD7F7UV.SEARCH&ssid=me5nc1fnj40000001686492252251,LG,7790,10199,23,2973,291,Grill,MH2044DB,4.3,20
"IFB 25 L Convection Microwave Oven  (25BC3, Black)",https://www.flipkart.com/ifb-25-l-convection-microwave-oven/p/itmdwmvzahezhscr?pid=MRCGHRCFQCBEJDKX&lid=LSTMRCGHRCFQCBEJDKXFD8RMD&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_16&otracker=browse&iid=en_FeJTfpuX2I85Q8msQGYbwKArEgUzLIa8PhCHFYN1FgStFPtTxisgD1r3EyaQoqKJLkINx8Smwl%2F0GENKIvHcWA%3D%3D&ssid=me5nc1fnj40000001686492252251,IFB,12290,16190,24,18,4,Convection,25BC3,4.3,25
"LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",https://www.flipkart.com/lg-20-l-solo-microwave-oven/p/itmec7c5082a9fc9?pid=MRCDZ5VFEZFH8WDN&lid=LSTMRCDZ5VFEZFH8WDNZ4WTS5&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_17&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCDZ5VFEZFH8WDN.SEARCH&ssid=me5nc1fnj40000001686492252251,LG,6290,7899,20,3611,319,Solo,MS2043DB.DB1QILN,4.4,20
"Haier 20 L Solo Microwave Oven  (HIL2001MWPH, Black)",https://www.flipkart.com/haier-20-l-solo-microwave-oven/p/itm51b52d3e5381e?pid=MRCFJM39X9DGRCCM&lid=LSTMRCFJM39X9DGRCCM6GTFAX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_18&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCFJM39X9DGRCCM.SEARCH&ssid=me5nc1fnj40000001686492252251,Haier,4999,7999,37,1286,150,Solo,HIL2001MWPH,4.3,20
"IFB 20 L Solo Microwave Oven  (20PM-MEC2, White)",https://www.flipkart.com/ifb-20-l-solo-microwave-oven/p/itmb32d57970c78b?pid=MRCGBVSRDFEA8HHH&lid=LSTMRCGBVSRDFEA8HHHBQZM0F&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_19&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCGBVSRDFEA8HHH.SEARCH&ssid=me5nc1fnj40000001686492252251,IFB,5990,7190,16,157,9,Solo,20PM-MEC2,4.5,20
"IFB 25 L Metallic silver Convection Microwave Oven  (25SC4, Metallic Silver)",https://www.flipkart.com/ifb-25-l-metallic-silver-convection-microwave-oven/p/itmef2zteehmrvwq?pid=MRCEF2ZS7FGDSYKM&lid=LSTMRCEF2ZS7FGDSYKMVZEENQ&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_20&otracker=browse&iid=en_FeJTfpuX2I85Q8msQGYbwKArEgUzLIa8PhCHFYN1FgQCKfrUMo%2Fh%2Bfo7Who9ruQdR%2B8HzdecCdZ7Fh08ihn6lw%3D%3D&ssid=me5nc1fnj40000001686492252251,IFB,13490,16890,20,6671,823,Convection,25SC4,4.4,25
"IFB 20 L Solo Microwave Oven  (20PM-MEC2B, BLACK)",https://www.flipkart.com/ifb-20-l-solo-microwave-oven/p/itm44436cbe2eb7c?pid=MRCGA9TXFMKFG38U&lid=LSTMRCGA9TXFMKFG38UWM5ZP6&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_21&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCGA9TXFMKFG38U.SEARCH&ssid=me5nc1fnj40000001686492252251,IFB,6290,7290,13,499,29,Solo,20PM-MEC2B,4.4,20
"LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmejy9afxsgvzvh?pid=MRCEJY9AF8FJRZTB&lid=LSTMRCEJY9AF8FJRZTB4QNSB9&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_22&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCEJY9AF8FJRZTB.SEARCH&ssid=me5nc1fnj40000001686492252251,LG,15690,22099,29,3426,493,Convection,MC2886BRUM,4.4,28
"LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmffd22683174de?pid=MRCF2UQHU8RQY4TT&lid=LSTMRCF2UQHU8RQY4TTTJVQFO&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_23&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCF2UQHU8RQY4TT.SEARCH&ssid=me5nc1fnj40000001686492252251,LG,12690,16499,23,5321,589,Convection,MC2846BG.DBKQILN,4.4,28
